,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
1189,6.5,8,8,1,1153,0,0.225,37.0,19.36,9.5147,-84.4865
1190,7.3,8,9,0,2790,0,0.284,33.0,19.0,34.9109,45.9592
1191,6.5,6,5,1,661,0,4.449,10.0,110.57,-4.2433,143.485
1192,6.8,5,5,1,727,0,4.852,21.0,10.0,-15.3197,-173.168
1193,6.6,3,5,1,674,0,0.788,29.0,22.0,-21.6484,168.859
1194,6.7,3,4,1,691,0,1.062,55.0,24.0,-21.6971,169.148
1195,6.7,3,3,0,694,0,1.634,16.0,553.81,-7.2168,123.074
1196,6.5,3,5,1,651,0,1.154,11.0,119.0,52.3909,176.769
1197,7.1,9,8,0,1686,0,0.984,23.0,48.0,18.5499,-98.4887
1198,8.2,9,7,1,2910,0,0.944,22.0,47.39,15.0222,-93.8993
1199,6.5,5,7,0,707,0,11.411,22.0,9.0,33.1926,103.855
1200,6.6,7,7,0,1064,0,0.913,16.0,7.0,36.9293,27.4139
1201,7.7,8,7,1,918,0,3.564,13.0,10.0,54.4434,168.857
1202,6.6,5,4,1,704,0,3.773,37.0,10.0,-49.4837,164.016
1203,6.5,9,8,1,740,0,4.139,30.0,9.0,11.1269,124.629
1204,6.8,6,6,1,1034,0,1.065,38.0,38.12,13.7174,-90.9718
1205,6.9,8,6,1,1188,0,0.247,35.0,93.0,14.9091,-92.0092
1206,6.8,0,4,1,711,0,2.308,12.0,5.0,54.0312,170.92
1207,6.6,7,7,0,678,0,2.353,18.0,12.0,-1.2923,120.431
1208,6.5,0,4,1,650,0,6.489,17.0,15.0,-56.414,-25.7432
1209,6.8,6,5,1,713,0,7.495,19.0,169.0,-14.5884,167.377
1210,6.9,9,6,1,814,0,1.636,14.0,26.0,5.5043,125.066
1211,6.9,9,7,1,1642,0,0.356,39.0,28.0,-33.0375,-72.0617
1212,6.5,7,8,0,1297,0,2.36,15.0,29.0,-22.6784,25.1558
1213,6.6,6,7,1,671,0,4.591,14.0,17.0,56.9401,162.786
1214,6.9,2,3,1,733,0,6.012,19.0,414.5,-23.2593,-178.804
1215,6.5,3,3,0,653,0,4.242,14.0,595.98,-19.2814,-63.9047
1216,6.5,8,7,1,718,0,2.822,36.0,15.0,9.9071,125.452
1217,7.9,9,7,1,987,0,3.625,9.0,135.0,-6.2464,155.172
1218,6.5,6,6,1,654,0,1.64,21.0,36.0,-10.3506,161.335
1219,7.3,6,3,1,849,0,3.813,18.0,627.17,4.4782,122.617
1220,6.9,6,4,1,742,0,2.495,13.0,12.0,-19.3733,176.052
1221,7.6,9,8,1,1152,0,0.355,29.0,38.0,-43.4064,-73.9413
1222,6.7,5,5,0,726,0,3.38,17.0,152.0,-7.5082,127.921
1223,7.9,9,7,1,972,0,1.389,13.0,94.54,-4.5049,153.522
1224,6.9,8,6,1,737,0,1.747,26.0,19.73,-10.749,161.132
1225,6.5,0,5,0,650,0,1.937,18.0,12.26,-10.8416,161.314
1226,7.8,9,8,1,961,0,1.836,13.0,40.0,-10.6812,161.327
1227,6.6,5,4,1,1120,0,1.405,55.0,8.45,40.4535,-126.194
1228,6.5,9,8,0,731,0,0.778,27.0,13.0,5.2834,96.1678
1229,6.6,8,7,0,693,0,1.697,20.0,17.0,39.2732,73.9776
1230,6.9,5,4,1,855,0,1.796,20.0,10.0,11.9097,-88.8968
1231,6.9,9,6,1,1144,0,0.671,10.0,9.0,37.3931,141.387
1232,6.5,7,7,1,664,0,0.283,56.0,9.0,-42.6058,173.254
1233,6.5,6,7,1,656,0,0.135,58.0,10.0,-42.3205,173.669
1234,7.8,9,9,1,1545,0,0.481,21.0,15.11,-42.7373,173.054
1235,6.6,9,8,0,2840,0,0.174,25.0,8.0,42.8621,13.0961
1236,6.6,3,3,0,677,0,2.022,16.0,614.0,-4.8626,108.163
1237,6.8,3,6,1,716,0,3.727,11.0,42.0,-6.0033,148.887
1238,6.9,2,3,1,733,0,4.051,9.0,596.4,-19.7819,-178.244
1239,7.0,5,6,1,897,0,0.698,21.0,19.0,-37.3586,179.146
1240,6.8,4,3,1,713,0,0.803,12.0,476.0,-3.6849,152.792
1241,6.8,6,6,0,981,0,1.802,17.0,82.0,20.9228,94.569
1242,7.2,6,5,1,799,0,4.823,14.0,16.37,-22.4765,173.117
1243,7.7,5,6,1,971,0,3.294,14.0,196.0,18.5429,145.507
1244,6.6,4,6,0,671,0,2.435,16.0,50.0,-2.0967,100.665
1245,7.2,1,6,1,798,0,5.803,24.0,78.0,-56.2409,-26.9353
1246,6.9,3,3,1,733,0,5.485,19.0,405.69,-21.9724,-178.204
1247,6.9,8,7,1,780,0,1.192,17.0,29.95,0.4947,-79.616
1248,6.7,5,7,1,744,0,1.352,21.0,16.0,0.4261,-79.7899
1249,7.0,7,7,1,755,0,0.616,14.0,24.0,-16.0429,167.379
1250,7.8,9,9,1,1163,0,1.44,15.0,20.59,0.3819,-79.9218
1251,7.0,9,9,1,2074,0,0.349,32.0,10.0,32.7906,130.754
1252,6.9,6,6,0,903,0,3.001,14.0,136.0,23.0944,94.8654
1253,6.6,6,4,0,738,0,0.789,17.0,212.0,36.4725,71.1311
1254,6.7,7,5,1,692,0,6.787,25.0,27.59,-13.9805,166.594
1255,6.7,7,6,1,691,0,6.697,19.0,24.0,-14.0683,166.624
1256,6.9,7,6,1,734,0,1.166,25.0,26.0,-14.3235,166.855
1257,7.8,4,3,0,948,0,7.009,20.0,24.0,-4.9521,94.3299
1258,7.2,3,7,1,799,0,0.958,17.0,177.0,53.9776,158.546
1259,7.1,7,7,1,1496,0,0.0,0.0,125.6,59.6204,-153.339
1260,6.6,3,4,1,673,0,2.413,74.0,10.0,18.8239,-106.934
1261,6.7,5,6,1,717,0,0.281,22.0,46.0,41.9723,142.781
1262,6.5,3,6,1,651,0,3.144,22.0,13.0,3.8965,126.862
1263,6.7,8,7,0,1515,0,1.794,16.0,55.0,24.8036,93.6505
1264,6.6,8,6,1,765,0,0.41,35.0,85.0,15.8015,-93.633
1265,6.9,8,5,0,738,0,2.979,14.0,21.0,-4.1064,129.508
1266,7.2,4,7,0,827,0,1.116,18.0,22.0,38.2107,72.7797
1267,6.7,2,3,0,691,0,2.033,19.0,602.75,-9.1825,-71.2574
1268,7.6,5,4,0,896,0,2.852,10.0,620.56,-10.0598,-71.0184
1269,7.6,6,5,1,957,0,3.287,10.0,606.21,-10.5372,-70.9437
1270,6.8,5,6,1,715,0,1.599,19.0,12.59,-8.8994,158.422
1271,6.5,7,7,0,1018,0,0.0,0.0,11.0,38.67,20.6
1272,6.7,5,4,0,702,0,1.444,17.0,12.0,31.0009,128.873
1273,6.9,5,6,0,744,0,0.821,43.0,10.0,-29.5097,-72.0585
1274,6.9,6,6,1,761,0,0.784,32.0,12.0,-29.5067,-72.0068
1275,6.6,7,4,0,675,0,2.792,31.0,10.0,6.8431,94.648
1276,6.8,7,7,1,841,0,0.258,41.0,46.0,-30.8796,-71.4519
1277,6.5,5,7,0,657,0,1.53,21.0,20.0,-8.3381,124.875
1278,7.5,8,7,0,1448,0,0.622,18.0,231.0,36.5244,70.3676
1279,7.1,6,6,1,780,0,0.592,11.0,135.0,-14.8595,167.303
1280,6.6,7,7,0,671,0,2.486,13.0,18.0,-0.6212,131.262
1281,6.6,5,7,1,820,0,1.064,14.0,35.0,-31.7275,-71.3792
1282,6.7,5,7,0,718,0,0.853,35.0,23.0,-31.5173,-71.804
1283,6.5,6,7,0,657,0,0.749,62.0,27.0,-31.4244,-71.6876
1284,7.0,8,7,0,799,0,0.903,13.0,28.41,-31.5622,-71.4262
1285,8.3,9,8,1,1960,0,0.684,19.0,22.44,-31.5729,-71.6744
1286,6.7,5,5,1,708,0,1.256,123.0,10.0,24.913,-109.623
1287,6.5,0,5,1,650,0,2.045,16.0,6.43,-9.3293,157.877
1288,6.6,3,5,1,671,0,1.872,20.0,22.0,-9.3438,158.053
1289,7.0,9,7,1,762,0,6.278,12.0,48.0,-2.6286,138.528
1290,6.9,4,7,1,734,0,0.444,39.0,29.0,52.376,-169.446
1291,7.0,8,6,1,759,0,5.205,22.0,11.0,-10.4012,165.141
1292,6.5,4,4,1,686,0,1.218,20.0,20.0,13.8672,-58.5479
1293,6.7,4,5,1,691,0,1.529,11.0,12.0,-9.307,158.403
1294,6.5,3,4,0,652,0,2.277,11.0,460.0,27.7375,139.725
1295,7.8,6,3,1,1151,0,1.675,12.0,664.0,27.8386,140.493
1296,6.8,5,6,1,762,0,0.0,0.0,72.6,56.594,-156.43
1297,6.8,1,5,1,711,0,3.619,18.0,10.0,-11.1093,163.215
1298,6.9,1,4,1,732,0,4.024,22.0,11.19,-11.0559,163.696
1299,6.8,1,4,1,711,0,4.395,15.0,11.0,-10.8759,164.169
1300,6.8,8,6,1,831,0,1.422,8.0,35.0,38.9056,142.032
1301,7.3,8,7,0,1563,0,0.677,11.0,15.0,27.8087,86.0655
1302,7.1,1,6,1,776,0,3.835,11.0,10.0,-7.2175,154.557
1303,7.5,7,8,1,869,0,1.295,22.0,55.0,-5.4624,151.875
1304,6.8,5,6,1,714,0,1.074,23.0,44.0,-5.2005,151.777
1305,6.7,5,6,1,692,0,1.239,12.0,31.0,-5.375,151.771
1306,6.7,7,7,0,1016,0,0.727,13.0,22.91,27.7711,86.0173
1307,6.6,8,7,0,733,0,1.778,16.0,10.0,28.2244,84.8216
1308,7.8,8,9,0,2820,0,1.857,12.0,8.22,28.2305,84.7314
1309,6.5,0,5,1,650,0,3.702,42.0,10.0,-15.8815,-178.6
1310,6.5,2,5,1,650,0,4.629,36.0,11.0,-15.4994,-173.029
1311,7.5,6,7,1,872,0,0.666,19.0,41.0,-4.7294,152.562
1312,7.0,4,6,0,760,0,1.362,12.0,552.06,-7.2968,122.535
1313,6.7,5,5,1,714,0,1.925,20.0,23.0,39.8558,142.881
1314,6.7,4,6,1,700,0,2.11,16.0,223.0,-23.1125,-66.688
1315,6.8,1,4,1,711,0,2.019,13.0,219.96,-17.0309,168.52
1316,6.5,1,4,1,650,0,4.318,61.0,8.0,5.9045,-82.6576
1317,6.6,7,6,1,709,0,2.485,43.0,20.0,7.9401,-82.6865
1318,6.6,1,5,1,670,0,3.246,12.0,23.0,-6.5108,154.46
1319,6.6,1,3,0,670,0,2.6,9.0,614.0,6.1572,123.126
1320,6.8,6,5,1,713,0,1.421,19.0,39.0,1.9604,126.575
1321,6.5,5,5,1,652,0,1.549,9.0,35.0,2.2999,127.056
1322,6.7,7,4,1,698,0,1.079,25.0,22.0,-37.6478,179.662
1323,7.1,4,6,1,779,0,1.397,18.0,45.0,1.8929,126.522
1324,6.6,2,6,1,671,0,3.557,13.0,53.19,-5.9873,148.232
1325,7.1,3,6,1,776,0,4.415,13.0,434.0,-19.6903,-177.759
1326,7.3,8,6,1,982,0,1.078,18.0,40.0,12.5262,-88.1225
1327,6.7,5,5,1,724,0,0.46,11.0,130.0,13.7641,144.429
1328,6.8,6,6,1,741,0,4.107,18.0,101.0,-14.598,-73.5714
1329,6.9,0,4,1,732,0,6.393,12.0,13.0,0.8295,146.169
1330,6.9,0,6,1,732,0,3.934,15.0,615.42,-19.8015,-178.4
1331,6.5,5,4,1,706,0,2.421,9.0,20.0,37.0052,142.452
1332,6.9,8,7,1,1079,0,0.263,51.0,53.0,14.724,-92.4614
1333,6.5,0,4,1,650,0,2.124,15.0,20.0,-6.2304,152.807
1334,6.7,0,5,1,691,0,6.713,45.0,18.0,-14.9831,-175.51
1335,6.9,0,5,1,732,0,4.838,25.0,8.0,-55.4703,-28.3669
1336,7.9,6,8,1,963,0,0.133,22.0,109.0,51.8486,178.735
1337,6.7,0,5,0,691,0,0.748,43.0,26.59,-29.9414,-177.607
1338,6.5,0,5,0,650,0,0.778,30.0,10.0,-29.9379,-177.516
1339,6.9,0,5,1,732,0,0.751,35.0,20.0,-29.9772,-177.725
1340,6.9,9,7,0,951,0,0.402,25.0,6.43,40.2893,25.3889
1341,6.5,7,5,1,694,0,3.121,33.0,10.0,7.2096,-82.3045
1342,6.6,0,5,1,670,0,3.34,10.0,106.0,-21.4542,170.355
1343,6.5,4,6,1,838,0,0.0,0.0,10.0,49.6388,-127.732
1344,7.5,0,6,1,865,0,3.82,16.0,43.37,-6.7547,155.024
1345,6.6,0,6,1,670,0,3.803,11.0,29.0,-6.6558,155.087
1346,7.2,8,7,1,1017,0,2.25,46.0,24.0,17.397,-100.972
1347,6.6,0,6,0,670,0,2.666,22.0,10.0,-11.1284,162.052
1348,7.4,0,6,1,842,0,2.885,17.0,39.0,-11.4633,162.051
1349,7.6,0,7,1,889,0,2.828,13.0,22.56,-11.2701,162.148
1350,6.6,6,5,1,677,0,0.761,20.0,135.0,11.642,-85.8779
1351,6.5,0,6,1,650,0,3.787,16.0,20.0,-6.7878,154.95
1352,7.1,0,7,1,776,0,3.729,21.0,60.53,-6.5858,155.048
1353,7.7,8,9,1,1057,0,1.029,44.0,22.4,-20.5709,-70.4931
1354,6.5,7,7,0,670,0,0.828,82.0,24.07,-20.3113,-70.5756
1355,6.9,0,5,0,732,0,0.828,119.0,28.42,-19.8927,-70.9455
1356,8.2,9,8,1,1332,0,0.609,23.0,25.0,-19.6097,-70.7691
1357,6.7,7,7,1,718,0,1.008,44.0,20.0,-19.9807,-70.7022
1358,6.8,5,5,1,1211,112,0.6568,229.0,16.441,40.8287,-125.134
1359,6.5,4,5,1,668,0,1.001,17.0,119.0,27.4312,127.367
1360,6.5,5,4,1,681,0,1.635,30.0,14.83,14.6682,-58.9272
1361,6.9,3,8,0,733,0,7.496,18.0,10.0,35.9053,82.5864
1362,6.5,0,5,1,650,0,0.409,20.0,122.0,-15.0691,167.372
1363,6.5,0,3,1,650,0,3.651,22.0,44.26,-32.9076,-177.881
1364,6.5,0,4,1,650,0,3.997,14.0,187.0,-13.8633,167.249
1365,6.5,3,4,0,651,0,5.194,22.0,371.0,-17.1171,-176.545
1366,7.7,1,8,1,912,0,8.05,23.0,10.0,-60.2738,-46.4011
1367,6.9,0,5,1,732,0,8.284,17.0,9.97,-60.2627,-47.0621
1368,6.6,6,7,1,723,0,0.636,31.0,27.0,-30.2921,-71.5215
1369,7.1,6,4,1,872,0,3.968,10.0,35.0,37.1557,144.661
1370,6.6,8,5,1,692,0,1.98,44.0,9.45,26.0913,-110.321
1371,6.8,0,6,1,711,0,5.79,9.0,35.0,-6.4456,154.931
1372,7.1,9,8,1,1092,0,3.144,12.0,19.04,9.8796,124.117
1373,6.6,5,6,0,691,0,1.984,40.0,40.0,35.5142,23.2523
1374,6.7,0,3,0,691,0,2.958,11.0,573.0,53.1995,152.786
1375,6.5,0,4,1,650,0,1.709,21.0,41.54,-30.9255,-178.323
1376,6.8,7,7,0,1005,0,7.359,17.0,12.0,27.1825,65.5052
1377,7.1,8,7,1,843,0,4.446,17.0,40.0,-15.8385,-74.5112
1378,7.7,5,8,0,2015,0,7.241,17.0,15.0,26.951,65.5009
1379,6.5,0,6,1,650,0,0.735,24.0,20.0,51.5573,-174.767
1380,6.5,5,3,0,739,0,3.276,26.0,402.0,29.9377,138.833
1381,6.5,4,5,0,668,0,3.097,11.0,112.0,-7.44,128.221
1382,7.0,5,6,0,758,0,0.624,53.0,29.0,51.537,-175.23
1383,6.5,9,7,1,690,0,0.0,0.0,8.2,-41.734,174.152
1384,6.7,4,5,1,715,0,3.741,22.0,12.0,5.7732,-78.1999
1385,6.5,6,7,1,693,229,0.0,20.0,17.0,-41.704,174.337
1386,7.3,0,6,1,820,398,0.0,43.0,11.0,-60.857,-25.07
1387,6.6,4,6,0,674,139,0.0,14.0,56.0,-6.029,149.706
1388,7.3,0,4,1,820,117,0.0,24.0,385.5,-3.917,153.927
